,Unnamed: 0,loai,tinhThanhPho,diaChi,giaCa,dienTich,ngayDangTin,ngayHetHan,moTa,matTienM,duongVaoM,soTang,soPhongNgu,soPhongTam,noiThat,tienIchKemTheo,dacDiemXaHoi,phapLy,duongpho,duAn,huongNha,huongBanCong,latitude,longitude
0,0,Nhà riêng,"Thịnh Quang, Đống Đa, Hà Nội","Láng, Thịnh Quang, Đống Đa, Hà Nội",3.3,34.0,737669.0,737714.0,"- Ngõ thông rộng sạch đẹp, ba gác đỗ cửa. Có cổng và sân riêng để xe để đồ, an ninh.
- Vị trí trung tâm, nhộn nhịp bậc nhất Thủ Đô. Dân trí cao, văn minh, tương lai.
- DT: 34m2 x 5 Tầng, Thông sàn mỗi tầng 1 phòng, ánh sáng tự nhiên, gió quanh năm mát
- Nhà thiết kế đẹp, xây dựng kiên cố. Phù hợp để ở hoặc cho thuê (chủ đang cho thuê 10tr/tháng)
- Chủ thiện chí, muốn tiếp Anh chị thiện chí
- Sổ đỏ chính chủ, pháp lý sạch
Liên hệ trực tiếp 098 939 9907 (miễn TG môi giới)
",,,,,,,,,0,Láng,,,,21.0083647,105.8180219
1,1,Nhà biệt thự,"Yên Phụ, Tây Hồ, Hà Nội","An Dương, Yên Phụ, Tây Hồ, Hà Nội",6.5,45.0,737669.0,737714.0,"+ Chạy xe 2p tới đường Thanh Niên, Hồ Tây.
+ Trước nhà 2 ô tô tránh, mặt tiền 5m cực đẹp,ô tô vô nhà.
+ Nhà xây mới, thiết kế hiện đại, mỗi tầng đều có ban công.
+ 45m2, 6 tầng, 5m mặt tiền. giá chỉ 6.5 tỷ.
+ chủ làm ăn rất có lộc. Hiện đã chuyển sang mua biệt thự Vinhome Reverside.
+ Mọi chi tiết anh chị liên hệ Quang Huỳnh. Hỗ trợ anh, chị. Tất cả các vấn đề như vay vốn ngân hàng, phong thủy, quy hoạch,..
",,,,,,,,,0,An Dương,,,,21.0534309,105.8393044
2,2,Nhà riêng,"Bồ Đề, Long Biên, Hà Nội","Bồ Đề, Bồ Đề, Long Biên, Hà Nội",3.9,45.0,737669.0,737714.0,"+ Vị trí quá đẹp, cách mặt phố Bồ Đề vài chục mét, ngõ thông tứ tung sang Nguyễn Văn Cừ, Ái Mộ, gần bệnh viện Tâm Anh, trường Quốc Tế Wellspring, HC GOLDEN CiTy, Mầm Non BenBen, Học Viện Anh Ngữ UniVerSaL, ngân hàng AGRIBANK, trường Tiểu Học Bồ Đề, nhà văn hóa, hồ Bồ Đề, gần luôn cầu Chương Dương, cầu Vĩnh Tuy, giao thông di chuyển dễ dàng tới nội, ngoại thành Hà Nội, tiện ích xung quanh số 2, không nơi nào dám nhận số 1.
+ Nhà Lô góc, 2 mặt thoáng, ánh sáng tự nhiên len lỏi trong nhà, mặt ngõ thông, kinh doanh nhỏ như là tóc, nail, tạp hóa...thiết kế 4 tầng 1 gác xép, bố trí chuẩn công năng, cầu thang giữa, tầng 2 phòng 1 phụ, tổng 4 phòng ngủ.
+ Nhà gia chủ xây tâm huyết để ở, nhưng vì xa con nên muốn bán để về ở cùng con an hưởng tuổi già.
+ Khu vực dân trí tốt, an ninh đảm bảo, thích hợp sinh sống lâu dài.
+ Sổ đỏ chính chủ, nở hậu đẹp, giá cả thương lượng, sang tên trong ngày.
Gọi Thế Anh 0326870869 để xem nhà miễn phí.
",,,,,,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Truyền hình cáp,Internet","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",1,Bồ Đề,,,,21.0371784,105.8730678
3,3,Nhà riêng,"Mỹ Đình 1, Nam Từ Liêm, Hà Nội","Mỹ Đình 1, Nam Từ Liêm, Hà Nội",3.1,50.0,737669.0,737714.0,"Nhà cách mặt phố chỉ khoảng 100m. Diện tích là 50m2 rộng rãi và thoáng mát, mặt tiền rộng 5,6m có thể kinh doanh tạp hóa vì có khá nhiều sinh viên ở thuê xung quanh.
Với một căn nhà có vị trí đẹp, sạch sẽ và xóm làng khá văn minh như thế thì chỉ cần trên 3 tỷ lại còn được thương lượng là bạn đã sở hữu được căn nhà này.
Được thiết kế với 3 phòng ngủ thông thoáng và sạch sẽ. Xung quanh nhiều trường đại học, bệnh viện và đặc biệt chợ rất gần thuận tiện cho công việc sinh hoạt hàng ngày.
Nhà xây vuông đẹp, khung cột vô cùng chắc chắn, vào trung tâm rất gần.
Rất thuận tiện di chuyển các tuyến đường như: Mai Dịch, Nguyễn Hoàng, Lê Đức Thọ, Liên Cơ, Nguyễn Cơ Thạch, Trần Vỹ...
Sổ đỏ chính chủ.
Liên hệ: Tiến Đạt: 0582360354 (miễn môi giới)

Nguyễn HoàngLê Đức ThọLiên CơNguyễn Cơ ThạchTrần VỹMai Dịch",,,,,,,,,0,,,,,21.022160600000003,105.771796
4,4,Nhà mặt phố,"Trâu Quỳ, Gia Lâm, Hà Nội","An Đào, Trâu Quỳ, Gia Lâm, Hà Nội",7.5,84.0,737669.0,737714.0,"Em đang có khách gửi bán căn nhà mới 5 tầng khu phố Trâu Quỳ, kinh doanh cực kì sầm uất, đường rải nhựa vỉa hè.
Nhà xây kiên cố 5 tầng, full 16 phòng trọ, mỗi tháng thu về 40 triệu tiền cho thuê.
Phòng trọ đầy đủ điều hòa nóng lạnh, lại là khu gần trường Nông Nghiệp nên đông đúc sinh viên, quanh năm kín phòng,
Bác nào muốn đầu tư kênh cho thuê thì mua nhé, đi xem đảm bảo ưng chốt liền.
Sổ đỏ pháp lý đầy đủ, có cho vay ngân hàng và làm sang tên sổ.
Liên hệ em đi xem nhé: 0336050957 Em Trang BĐS Hùng Vương.",,,,,,,,,0,An Đào,,,,21.007838600000003,105.9376756
5,5,Nhà riêng,"Việt Hưng, Long Biên, Hà Nội","Đường Lưu Khánh Đàm, Quận Long Biên, Thành Phố Hà Nội",18.5,210.0,737669.0,737714.0,"Bán Gấp Biệt Thự Việt Hưng, Long Biên, Hà Nội. Diện tích 210m, 4 tầng, mặt tiền 11m, giá 18.8 tỷ. Nhà mới hoàn thiện, thiết kế phong cách hiện đại, đẹp long lanh. Không gian sống tuyệt vời. Liên hệ để đi xem nhà. 0963911687. Miễn trung gian.",,,4.0,4.0,4.0,,,,0,,,,,21.0575538,105.90243219999999
6,6,Nhà riêng,"Phương Liên, Đống Đa, Hà Nội","Kim Hoa, Phương Liên, Đống Đa, Hà Nội",4.6,56.0,737669.0,737714.0,"NHÀ ĐẸP – NỘI THẤT MỚI-5PN-NỞ HẬU-KIM HOA
Do chủ nhà muốn đổi nhà nên để lại 1 căn Kim Hoa.Giá chỉ 4.6 tỷ .mà 56m2 rộng rãi thoải mái,xe máy để 6-7 cái ở sân .
Nhà nở hậu nên rất lộc lá.
Nội thất thì mới .rất đẹp. Điều hòa ,nóng lạnh đủ hết.
Nhà xây riêng biệt 1 phòng bếp, 1 phòng khách .6 wc.
Tầng 2->4 : có 5 Phòng ngủ đều có ban công . thoải mái cho cả 3 -4 thế hệ ở.
Ra Xã Đàn , CV thống nhất chỉ có 100m.
Rất gần các Trường học nổi tiếng. Bệnh Viện , TTTM : BV Bạch Mai chỉ 1km. TTTM Phạm Ngọc Thạch chỉ 1km. Trung Tâm Đống Đa, nên rất thuận tiện đi lại và các tiện ích phục vụ cho đời sống. đảm bảo miễn chê.
Chủ nhà ĐỂ LẠI NỘI THẤT cho khách thiện chí .
Alo hiếu 0835984653 để đc tư vấn và xem nhà.

",,,4.0,5.0,6.0,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt","Chỗ để xe máy,Truyền hình cáp","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",1,Kim Hoa,,,,21.0123495,105.83710259999998
7,7,Nhà riêng,"Mỗ Lao, Hà Đông, Hà Nội","Thanh Bình, Hà Đông",2.85,48.0,737669.0,737714.0,"Miếng đất ở Đường Thanh Bình Hà Đông, RẤT GẦN CẦU TRẮNG HÀ ĐÔNG (Mỗ Lao): 48m2, mặt tiền 5,4m.
Giá 2.85 tỷ vẫn có thương lượng.
Mảnh đất 2 mặt đường, 1 mặt hướng tây bắc, mặt kia hướng đông nam. Không lỗi phong thủy. Mặt ngõ nông, 3m, trước và sau nhà: loại xe ba gác và xe máy loại SH tránh nhau, quay đầu thoải mái, Theo đánh giá của giới chuyên môn BĐS thổ cư Hà Đông - Hà Nội: Người có vốn nhập căn này vào xong tiếp tục chào bán ngay trong vài tháng lãi vài trăm triệu không hề khó. Hoặc dùng 900 triệu VND xây nhà mới thành siêu phẩm thì lãi càng xúc động hơn.
Sổ đỏ pháp lý chuẩn sẵn sàng giao dịch.
Để biết thêm thông tin liên hệ Hồng Nhâm: 0896699308",,,1.0,1.0,1.0,,,,0,Thanh Bình,,,,20.983374899999998,105.7835348
8,8,Nhà mặt phố,"Bạch Mai, Hai Bà Trưng, Hà Nội","Hồng Mai, Bạch Mai, Hai Bà Trưng, Hà Nội",1.75,25.0,737669.0,737714.0,"'- Nhà phố Hồng Mai, vị trí cực đẹp, thông thương thuận lợi với các đường Bạch Mai, Minh Khai, Bùi Ngọc Dương. Mặt ngõ thuận tiện, khách hàng kinh doanh nhỏ được.

- Nhà hiện tại 4 tầng, 25m2 được xây kiên cố, chắc chắn, khách hàng mua chỉ việc xách valy về ở. Ngõ rộng, thông, khu vực dân trí cao, an ninh tốt.

- Chủ nhiệt bán giá vào việc rất bất ngờ.

- Sổ đẹp, đất vuông vắn, pháp lý chuẩn.

- Giá bán: 1.75 tỷ (có thương lượng).

- Liên hệ: Minh Cảnh Thổ Cư - 0906151363 (Virber/Zalo 24/7).",3.5,4,4.0,3.0,3.0,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",1,Hồng Mai,,,,21.000814300000002,105.85178140000001
9,9,Nhà mặt phố,"Ba Đình, Hà Nội",ba đình,1.79,94.0,737669.0,737714.0,"Bán gấp nhà Giang Văn Minh, ô tô, nhà mới đẹp 94m 17 tỉ có tl. Lh 0855011086
+ Nhà 4 tầng cực đẹp toàn bộ nội thất nhập khẩu long lanh, cửa gỗ óc chó khoá từ sam sung sử dụng vân tay, sàn ốp gỗ thịt, thiết bị vệ sinh cao cấp chính hãng TÔT... Nhà cực chắc chắn đẹp long lanh, móng chắc chắn lên tầng thoải mái.
- Tầng 1: Phòng khách + gara.
- Tầng 2: 2 phòng ngủ (1 phòng to + 1 phòng nhỏ) + vệ sinh.
- Tầng 3: 3 phòng ngủ đẹp + vệ sinh khép kín.
- Tầng 3: Phòng thờ + sân phơi đồ.
+ Nhà kinh doanh cho tây thuê ở giá nhấp nhất phải 35 triệu/tháng.
+ Sổ đỏ chính chủ vuông vắn, pháp lý sạch.

+ Mọi thông tin xin liên hệ Anh Sương chuyên mặt phố 0855011086",,,4.0,4.0,4.0,,,,0,Giang Văn Minh,,,,21.0337815,105.8140539
